RECNO	D	NEW	E	SOC	SOC2000	INDEXOCC	IND	ADD	SEE
1		*		103	2441	A	(Cabinet Office)		
2		*		103	2441	A	(Northern Ireland Office)		
3		*		400	4112	A1	(Benefits Agency)		
4		*		103	2441	A1	(Dept for International Development)		
5		*		400	4112	A1	(Office for National Statistics)		
6		*		400	4112	A1	(Scottish Office)		
7		*		400	4112	A2	(Benefits Agency)		
8		*		103	2441	A2	(Dept for International Development)		
9		*		400	4112	A2	(Office for National Statistics)		
10		*		400	4112	A2	(Scottish Office)		
11		*		400	4112	A3	(Benefits Agency)		
12		*		103	3561	A3	(Dept for International Development)		
13		*		400	4112	A3	(Office for National Statistics)		
14		*		400	4112	A3	(Scottish Office)		
15		*		400	4112	A4	(Benefits Agency)		
16		*		400	4112	A4	(Scottish Office)		
17		*		400	4112	A5	(Benefits Agency)		
18		*		400	4112	A6	(Benefits Agency)		
19		*		400	4112	A7	(Benefits Agency)		
20				400	4112	AA	(government)		
21				600	3311	AB	(armed forces)		
22				880	8217	AB	(shipping)		
23				250	2421	ACA			
24				127	1131	ACIS			
25				251	2422	ACWA			
26				100	1111	AM	(National Assembly)		
27				400	4112	AO	(government)		
28				401	4113	AP(T)	(local government:	grade 1,2,3)	
29				102	3561	AP(T)	(local government:	grade 4,5)	
30				893	8124	APA	(power station)		
31				250	2421	ASAA			
32				292	2444	Abbot			
33				421	4135	Abstractor		(press cuttings)	
34				385	3415	Accompanist			
35		*		250	2421	Accountant, bank			
36				410	4122	Accountant, barrack			
37				410	4122	Accountant, barracks			
38				250	2421	Accountant, borough			
39		*		250	2421	Accountant, branch			
40				250	2421	Accountant, certified			
41				250	2421	Accountant, chartered			
42		*		250	2421	Accountant, chief, group			
43	O	*		250	2421	Accountant, chief			
44				250	2421	Accountant, company			
45				251	2422	Accountant, cost		(qualified)	
46	Q			410	4122	Accountant, cost			
47				251	2422	Accountant, cost and management		(qualified)	
48		*		251	2422	Accountant, cost and works		(qualified)	
49	Q	*		410	4122	Accountant, cost and works			
50				250	2421	Accountant, district			
51				410	4122	Accountant, financial	(coal mine)		
52	I			250	2421	Accountant, financial			
53				410	4122	Accountant, group			
54				250	2421	Accountant, incorporated			
55				251	2422	Accountant, management		(qualified)	
56	Q	*		410	4122	Accountant, management			
57				250	2421	Accountant, principal			
58		*		362	3535	Accountant, tax			
59		*		362	3535	Accountant, taxation			
60				691	6211	Accountant, turf			
61				251	2422	Accountant, works		(qualified)	
62	Q			410	4122	Accountant, works			
63				251	2422	Accountant		(qualified, cost and works accountancy)	
64				251	2422	Accountant		(qualified, management accountancy)	
65	QS			250	2421	Accountant		(qualified)	
66				250	2421	Accountant	(government)		
67	M			410	4122	Accountant			
68				410	4122	Accountant and auditor			
69				240	2419	Accountant of Court		(Scotland)	
70				250	2421	Accountant-secretary	(coal mine)		
71				999	9131	Acetoner			
72				820	8114	Acidifier			
73				384	3413	Acrobat			
74				384	3413	Actor			
75				384	3413	Actor-manager			
76				252	2423	Actuary			
77				220	2211	Acupuncturist		(medically qualified)	
78	Q			346	3229	Acupuncturist			
79				350	3520	Adjudicator		(national insurance regulations)	
80		*		350	3520	Adjudicator	(Home Office)		
81		*		361	3531	Adjuster, average			
82				516	5223	Adjuster, brake			
83				361	3531	Adjuster, claims			
84				517	5224	Adjuster, compass			
